W0831.bam	98.9	2319.1
W0832.bam	74.6	1114.2
W0835.bam	100	965
W0836.bam	100	1804
W0839.bam	81.9	1409.3
W0840.bam	70.3	1373.4
W0842.bam	97.8	1947.7
W0845.bam	91	1614
W0848.bam	69.6	1106.3
W0856.bam	97.9	1278.2
W0858.bam	97.7	1784.8
W0860.bam	100	1262.8
W0861.bam	98.1	1754.2
W0865.bam	100	1761
W0870.bam	100	1279.2
W0875.bam	82.5	1923
W0881.bam	69.8	1306.6
W0885.bam	97.8	1566.2
W0891.bam	100	1737.4
W0897.bam	99.6	1586.9
W0899.bam	100	1851.7
W0901.bam	97.4	5515.2
W0902.bam	98.1	1350.1
W0909.bam	80.1	1509.2
W0918.bam	100	4546.9
W0920.bam	100	4210.4
W0921.bam	100	4942.9
W0922.bam	74.7	2825
W0924.bam	73.27	2730.2
W0925.bam	97.48	4034.5
W0926.bam	100	3826
W0927.bam	91.81	3890.2
W0929.bam	100	2616.8
W0930.bam	82.27	3460.9
W0931.bam	74	2757.6
W0933.bam	100	3839.1
W0936.bam	71.01	871.3
W0937.bam	93.65	3052
W0938.bam	82.62	3221.6
W0939.bam	97.75	3640
W0940.bam	100	3797.3
W0941.bam	100	4442.3
W0942.bam	100	4120.4
W0943.bam	100	3747.9
W0944.bam	100	3836.8
W0945.bam	100	2912.7
W0946.bam	100	3277.2
W0947.bam	98.46	4278.8
W0948.bam	100	3908.5
W0949.bam	99.43	4048.3
W0950_L1.sorted.bam	98.8757	5124.33
W0951_L1.sorted.bam	99.3834	5530.52
W0952_L1.sorted.bam	99.3834	5426.26
W0953_L1.sorted.bam	99.3834	3807.76
W0954_L1.sorted.bam	99.3472	5104
W0955_L1.sorted.bam	98.6853	5536.62
W0956_L1.sorted.bam	89.6727	3738.55
W0957_L1.sorted.bam	99.3834	5695.19
W0958_L1.sorted.bam	99.3834	5555.3
W0959_L1.sorted.bam	99.3834	4837.44
W0960_L1.sorted.bam	99.3834	2703.57
W0961_L1.sorted.bam	98.6853	5681.15
W0962_L1.sorted.bam	98.9301	4903.42
W0963_L1.sorted.bam	99.3834	5948.02
W0964_L1.sorted.bam	99.3834	5783.27
W0965_L1.sorted.bam	98.6853	6179.75
W0966_L1.sorted.bam	99.0389	5921.09
W0967_L1.sorted.bam	98.6944	4447.62
W0968_L1.sorted.bam	99.0389	5918.12
W0969_L1.sorted.bam	99.057	5746.22
W0970_L1.sorted.bam	99.3834	5336.29
W0971_L1.sorted.bam	99.3834	5630.81
W0972_L1.sorted.bam	97.8783	5214.78
W0973_L1.sorted.bam	98.6853	5268.41
W0974_L1.sorted.bam	97.8783	4972.23
W0975_L1.sorted.bam	99.3834	5505.91
W0976_L1.sorted.bam	98.6853	5860.87
W0977_L1.sorted.bam	99.3834	5125.68
W0978_L1.sorted.bam	99.3834	5676.35
W0979_L1.sorted.bam	96.1193	4546.19
W0980_L1.sorted.bam	96.2463	5162.74
W0981_L1.sorted.bam	97.9509	5041.67
W0982_L1.sorted.bam	99.3834	5296.17
W0983_L1.sorted.bam	99.3834	5261.99
W0984_L1.sorted.bam	99.3925	5837.21
W0985_L1.sorted.bam	98.2319	5078.8
W0986_L1.sorted.bam	99.3925	5394.15
W0987_L1.sorted.bam	99.3834	5547.53
W0988_L1.sorted.bam	99.3834	5870.9
W0989_L1.sorted.bam	98.6944	5572.72
W0990_L1.sorted.bam	99.3834	4552.8
W1298.bam	94.5	2311.5
W1299.bam	79.8	2349.3
W1300.bam	91.5	4217
W1301.bam	96.8	4713.5
W1302.bam	98.3	6091.6
W1303.bam	94.7	3621.8
W1305.bam	94.3	3805
W1306.bam	100	2961.9
W1307.bam	98.7	3923.9
W1308.bam	99.6	1881.3
W1309.bam	96.8	4210.9
W1322.bam	96.6	4381.9
W1323.bam	77.8	3373.6
W1324.bam	98.9	4864.2
W1326.bam	100	4912.4
W1327.bam	100	4526.2
W1328.bam	94.9	3270
W1329.bam	100	4787.3
W1330.bam	100	4950.1
W1331.bam	96.9	3369
W1332.bam	98.7	4983.4
W1334.bam	98.7	4985.4
W1335.bam	98.8	3325
W1336.bam	99.4	4093.8
W1337.bam	100	5064.7
W1338.bam	98.7	4015.7
W1339.bam	99.2	4540
W1342.bam	98.8	4011.1
W1344.bam	100	3720.1
W1345.bam	84.1	2013.1
W1346.bam	96	3757.5
W1353.bam	100	4193.5
W1354.bam	93.3	2341.1
W1356.bam	97.9	4366.3
W1362.bam	78.3	2656.8
W1364.bam	97.9	3932.9
W1367.bam	85.2	1627.3
W1368.bam	78.6	1034.7
W1369.bam	99.6	3047.3
W1370.bam	70.7	3062
W1372.bam	84.4	2652
W1373.bam	84.7	2293.4
W1374.bam	98	3230.6
W1375.bam	100	4227.7
W1378.bam	100	2511.7
W1379.bam	95.6	2071.1
W1383.bam	99.3	4484.1
W1384.bam	100	3595.6
W1385.bam	100	3491.4
W1386.bam	100	3045.9
W1387.bam	99.5	3208.2
W1388.bam	100	3766.2
W1389.bam	99.9	3580.2
W1390.bam	94.5	2971.5
W1391.bam	100	2762.7
W1392.bam	100	2033.7
W1393.bam	97.8	352
W1394.bam	100	2708.9
W1395.bam	100	3082.9
W1396.bam	100	701.5
W1397.bam	100	2357.6
W1398.bam	100	3479.8
W1399.bam	99.5	2984.2
W1400.bam	100	3436.2
W1401.bam	100	3564.5
W1403.bam	97.6	82.5
W1404.bam	96.1	2412.3
W1407.bam	98.1	2196.6
W1408.bam	100	3553.8
W1409.bam	100	3433.7
W1411.bam	100	4502
W1412.bam	100	3012.3
W1443.bam	100	5021.7
W1444.bam	100	5055
W1445.bam	100	5127.9
W1446.bam	99.7	5954.7
W1447.bam	100	5117
W1448.bam	99.8	5784.7
W1449.bam	99.7	4442.9
W1450.bam	99.1	3333.2
W1451.bam	99.1	4002.9
W1452.bam	98.4	4298.3
W1453.bam	100	4302.5
W1454.bam	100	4942.6
W1455.bam	98.4	4257.2
W1456.bam	99.7	4499.6
W1457.bam	99.4	3923.8
W1458.bam	100	6448.7
