SampleID,Date,Country,State,County,Host,Genotype,Date
GQ507468,2005-08-03,United States,TX,El-Paso,Human,SW03,NA
GQ507469,2005-09-01,United States,NM,Dona-Ana,Human,SW03,NA
GQ507470,2006-08-30,United States,TX,El-Paso,Human,SW03,NA
GQ507471,2007-06-23,United States,TX,El-Paso,Human,SW03,NA
GQ507472,2003-07-14,United States,CA,Orange,Human,WN02,NA
GQ507473,2004-07-24,United States,CA,Los-Angeles,Human,WN02,NA
GQ507474,2004-08-27,United States,CA,San-Bernardino,Human,WN02,NA
GQ507475,2005-06-27,United States,CA,San-Bernardino,Human,WN02,NA
GQ507476,2005-07-27,United States,CA,San-Bernardino,Human,WN02,NA
GQ507477,2005-08-01,United States,CA,Los-Angeles,Human,WN02,NA
GQ507478,2005-08-26,United States,CA,Los-Angeles,Human,WN02,NA
GQ507479,2005-09-09,United States,AZ,Pima,Human,SW03,NA
GQ507480,2005-10-04,United States,CA,Los-Angeles,Human,SW03,NA
GQ507481,2006-08-22,United States,NE,Douglas,Human,WN02,NA
GQ507482,2006-09-03,United States,AZ,Pima,Human,SW03,NA
GQ507483,2007-08-02,United States,CA,Los-Angeles,Human,WN02,NA
GQ507484,2007-08-16,United States,CA,Los-Angeles,Human,SW03,NA
GU827998,2002-08-01,United States,TX,Harris,Bird-other,WN02,NA
GU827999,2003-08-01,United States,TX,Montgomery,Bird-other,WN02,NA
GU828000,2003-08-01,United States,TX,Harris,Bird-other,WN02,NA
GU828001,2003-08-01,United States,TX,Harris,Mosquito-Culex,WN02,NA
GU828002,2003-08-01,United States,TX,Harris,Mosquito-Culex,WN02,NA
GU828003,2003-08-01,United States,TX,Jefferson,Bird-other,WN02,NA
GU828004,2003-08-01,United States,TX,Montgomery,Bird-other,WN02,NA
HM488114,2002-10-01,United States,CT,Fairfield,Mosquito-Aedes,WN02,NA
HM488115,2005-08-22,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488116,2005-08-22,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488117,2005-08-22,United States,CT,Fairfield,Mosquito-other,WN02,NA
HM488118,2005-08-29,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488119,2005-09-06,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488120,2005-09-06,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488121,2005-09-25,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488122,2006-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
HM488123,2006-08-01,United States,CT,Unknown,Mosquito-Culex,WN02,NA
HM488124,2006-08-01,United States,CT,Unknown,Bird-other,WN02,NA
HM488125,1999-09-29,United States,CT,Fairfield,Bird-crow,NY99,NA
HM488126,1999-09-25,United States,CT,Fairfield,Bird-crow,NY99,NA
HM488127,1999-09-24,United States,CT,Fairfield,Bird-crow,NY99,NA
HM488128,1999-09-27,United States,CT,Fairfield,Bird-crow,NY99,NA
HM488129,2000-09-21,United States,CT,New-Haven,Mosquito-Culex,NY99,NA
HM488130,2000-09-18,United States,CT,New-Haven,Mosquito-Culex,NY99,NA
HM488131,2000-09-21,United States,CT,New-Haven,Mosquito-Culex,NY99,NA
HM488132,2000-09-20,United States,CT,Fairfield,Mosquito-Culiseta,NY99,NA
HM488133,2001-07-16,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HM488134,2001-09-06,United States,CT,Fairfield,Mosquito-other,NY99,NA
HM488135,2001-09-06,United States,CT,Fairfield,Mosquito-other,NY99,NA
HM488136,2001-09-07,United States,CT,Fairfield,Mosquito-Culex,NY99,NA
HM488137,2002-08-20,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488138,2003-08-18,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488139,2003-10-07,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488140,2003-08-12,United States,CT,Fairfield,Mosquito-Aedes,WN02,NA
HM488141,2003-09-16,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488142,2004-07-12,United States,CT,Fairfield,Mosquito-other,WN02,NA
HM488143,2004-08-09,United States,CT,Fairfield,Mosquito-Aedes,WN02,NA
HM488144,2004-08-17,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
HM488145,2004-08-30,United States,CT,Fairfield,Mosquito-Aedes,WN02,NA
HM488146,2004-08-30,United States,CT,Fairfield,Mosquito-other,WN02,NA
HM488147,2004-09-13,United States,CT,Fairfield,Mosquito-Culex,WN02,NA
